Fiber ID,First analog (µm),Second analog (µm),Ratio,Fiber type,Valid,Image Name,Type,sigma,Grader
1,5.720000000000001,19.5,2.4959415584415585,double,True,siNT-01,siNT,0.0,AI
3,12.74,21.45,1.2326895043731778,double,True,siNT-01,siNT,0.0,AI
4,10.14,16.12,1.1639194139194138,double,True,siNT-01,siNT,0.0,AI
7,27.3,21.19,0.5682823129251701,one-two-one,True,siNT-01,siNT,0.0,AI
9,9.75,32.5,2.4404761904761902,double,True,siNT-01,siNT,0.0,AI
11,11.440000000000001,19.5,1.2479707792207793,two-one-two,True,siNT-01,siNT,0.0,AI
12,8.84,19.240000000000002,1.5934873949579829,double,True,siNT-01,siNT,0.0,AI
20,7.54,15.34,1.4895320197044333,double,True,siNT-01,siNT,0.0,AI
21,13.52,17.03,0.9222184065934065,double,True,siNT-01,siNT,0.0,AI
23,8.71,16.77,1.409648187633262,double,True,siNT-01,siNT,0.0,AI
24,26.650000000000002,35.88,0.9857142857142857,two-one-two,True,siNT-01,siNT,0.0,AI
25,12.22,18.59,1.1137917933130697,double,True,siNT-01,siNT,0.0,AI
32,6.63,18.59,2.0528711484593836,double,True,siNT-01,siNT,0.0,AI
33,8.19,18.72,1.673469387755102,double,True,siNT-01,siNT,0.0,AI
36,9.49,20.28,1.5645792563600782,double,True,siNT-01,siNT,0.0,AI
38,17.03,21.84,0.9389312977099236,two-one-two,True,siNT-01,siNT,0.0,AI
39,10.4,22.1,1.5558035714285714,double,True,siNT-01,siNT,0.0,AI
43,29.900000000000002,21.45,0.5252329192546583,double,True,siNT-01,siNT,0.0,AI
44,14.690000000000001,20.8,1.0366624525916561,double,True,siNT-01,siNT,0.0,AI
45,10.14,33.28,2.402930402930403,double,True,siNT-01,siNT,0.0,AI
46,8.450000000000001,12.22,1.0587912087912086,double,True,siNT-01,siNT,0.0,AI
47,9.88,13.13,0.9729793233082706,double,True,siNT-01,siNT,0.0,AI
48,10.66,15.08,1.0357142857142856,double,True,siNT-01,siNT,0.0,AI
50,12.74,17.29,0.9936224489795918,double,True,siNT-01,siNT,0.0,AI
52,13.0,18.59,1.0469642857142856,double,True,siNT-01,siNT,0.0,AI
53,14.040000000000001,25.740000000000002,1.3422619047619047,double,True,siNT-01,siNT,0.0,AI
56,2.8600000000000003,17.42,4.459415584415584,double,True,siNT-01,siNT,0.0,AI
59,16.64,24.310000000000002,1.0696149553571428,double,True,siNT-01,siNT,0.0,AI
60,8.97,11.57,0.9443581780538302,double,True,siNT-01,siNT,0.0,AI
62,14.690000000000001,20.8,1.0366624525916561,double,True,siNT-01,siNT,0.0,AI
68,8.58,15.73,1.3422619047619047,double,True,siNT-01,siNT,0.0,AI
69,13.13,13.65,0.7611386138613861,double,True,siNT-01,siNT,0.0,AI
72,5.46,5.98,0.8018707482993197,double,True,siNT-01,siNT,0.0,AI
73,5.720000000000001,14.56,1.8636363636363635,double,True,siNT-01,siNT,0.0,AI
75,14.82,20.41,1.0083020050125313,double,True,siNT-01,siNT,0.0,AI
77,14.43,8.97,0.45511583011583007,double,True,siNT-01,siNT,0.0,AI
78,5.720000000000001,8.19,1.0482954545454546,double,True,siNT-01,siNT,0.0,AI
79,9.23,11.440000000000001,0.9074446680080481,double,True,siNT-01,siNT,0.0,AI
82,7.930000000000001,11.18,1.0322014051522248,double,True,siNT-01,siNT,0.0,AI
83,10.4,19.11,1.3453125,double,True,siNT-01,siNT,0.0,AI
84,12.35,12.35,0.7321428571428571,double,True,siNT-01,siNT,0.0,AI
85,13.780000000000001,13.0,0.6907008086253369,double,True,siNT-01,siNT,0.0,AI
86,13.65,14.56,0.7809523809523808,double,True,siNT-01,siNT,0.0,AI
87,6.24,8.84,1.037202380952381,double,True,siNT-01,siNT,0.0,AI
90,13.26,16.38,0.9044117647058824,double,True,siNT-01,siNT,0.0,AI
92,8.71,12.870000000000001,1.08182302771855,double,True,siNT-01,siNT,0.0,AI
94,6.11,15.08,1.8069908814589664,double,True,siNT-01,siNT,0.0,AI
96,10.530000000000001,20.8,1.4462081128747795,double,True,siNT-01,siNT,0.0,AI
98,12.610000000000001,15.21,0.8831001472754049,double,True,siNT-01,siNT,0.0,AI
100,10.27,23.01,1.6403707052441228,double,True,siNT-01,siNT,0.0,AI
101,8.450000000000001,13.13,1.1376373626373626,double,True,siNT-01,siNT,0.0,AI
102,10.530000000000001,28.6,1.9885361552028218,double,True,siNT-01,siNT,0.0,AI
103,5.98,2.99,0.36607142857142855,double,True,siNT-01,siNT,0.0,AI
106,14.17,20.41,1.0545543905635648,double,True,siNT-01,siNT,0.0,AI
107,11.57,11.440000000000001,0.7239165329052969,double,True,siNT-01,siNT,0.0,AI
109,8.84,17.03,1.410451680672269,double,True,siNT-01,siNT,0.0,AI
111,7.930000000000001,11.96,1.1042154566744729,double,True,siNT-01,siNT,0.0,AI
112,13.52,22.75,1.2319711538461537,double,True,siNT-01,siNT,0.0,AI
113,5.46,14.43,1.9349489795918366,double,True,siNT-01,siNT,0.0,AI
114,2.47,11.700000000000001,3.4680451127819545,double,True,siNT-01,siNT,0.0,AI
115,12.35,19.63,1.163721804511278,double,True,siNT-01,siNT,0.0,AI
116,10.790000000000001,13.13,0.89092082616179,double,True,siNT-01,siNT,0.0,AI
117,9.23,14.17,1.1239939637826961,double,True,siNT-01,siNT,0.0,AI
119,7.54,6.11,0.5932881773399014,double,True,siNT-01,siNT,0.0,AI
121,10.790000000000001,18.330000000000002,1.243760757314974,double,True,siNT-01,siNT,0.0,AI
122,14.690000000000001,14.82,0.738621997471555,double,True,siNT-01,siNT,0.0,AI
125,8.32,23.14,2.036272321428571,double,True,siNT-01,siNT,0.0,AI
126,8.06,11.83,1.0745967741935483,double,True,siNT-01,siNT,0.0,AI
127,7.0200000000000005,5.46,0.5694444444444444,double,True,siNT-01,siNT,0.0,AI
129,9.88,14.040000000000001,1.0404135338345863,double,True,siNT-01,siNT,0.0,AI
134,11.700000000000001,15.21,0.9517857142857142,double,True,siNT-01,siNT,0.0,AI
135,8.19,17.55,1.568877551020408,double,True,siNT-01,siNT,0.0,AI
139,13.0,14.950000000000001,0.8419642857142856,double,True,siNT-01,siNT,0.0,AI
140,7.0200000000000005,5.98,0.6236772486772486,double,True,siNT-01,siNT,0.0,AI
141,13.0,7.28,0.41000000000000003,double,True,siNT-01,siNT,0.0,AI
143,16.64,22.75,1.0009765625,double,True,siNT-01,siNT,0.0,AI
144,7.0200000000000005,6.11,0.6372354497354497,double,True,siNT-01,siNT,0.0,AI
148,13.0,23.53,1.3251785714285713,double,True,siNT-01,siNT,0.0,AI
150,17.94,11.31,0.46156832298136646,double,True,siNT-01,siNT,0.0,AI
153,14.950000000000001,19.76,0.9677018633540372,double,True,siNT-01,siNT,0.0,AI
155,10.01,16.900000000000002,1.2360853432282002,double,True,siNT-01,siNT,0.0,AI
157,10.92,14.690000000000001,0.984906462585034,double,True,siNT-01,siNT,0.0,AI
158,10.790000000000001,16.12,1.0938037865748709,double,True,siNT-01,siNT,0.0,AI
159,6.37,11.57,1.329810495626822,double,True,siNT-01,siNT,0.0,AI
160,9.88,15.860000000000001,1.175281954887218,double,True,siNT-01,siNT,0.0,AI
161,8.84,18.46,1.5288865546218486,double,True,siNT-01,siNT,0.0,AI
164,8.84,13.39,1.1089810924369747,double,True,siNT-01,siNT,0.0,AI
167,7.800000000000001,9.88,0.9273809523809523,double,True,siNT-01,siNT,0.0,AI
170,7.41,14.690000000000001,1.451441102756892,double,True,siNT-01,siNT,0.0,AI
172,25.61,1.9500000000000002,0.055746918056562726,one-two-one,True,siNT-01,siNT,0.0,AI
173,10.01,14.040000000000001,1.0269016697588125,double,True,siNT-01,siNT,0.0,AI
177,7.930000000000001,16.38,1.512295081967213,double,True,siNT-01,siNT,0.0,AI
178,11.83,16.900000000000002,1.0459183673469388,double,True,siNT-01,siNT,0.0,AI
179,6.37,15.99,1.8378279883381923,double,True,siNT-01,siNT,0.0,AI
180,6.24,7.67,0.8999255952380952,double,True,siNT-01,siNT,0.0,AI
181,8.06,15.47,1.405241935483871,double,True,siNT-01,siNT,0.0,AI
182,8.97,13.26,1.0822981366459625,double,True,siNT-01,siNT,0.0,AI
184,17.03,13.26,0.5700654307524536,double,True,siNT-01,siNT,0.0,AI
186,8.71,13.65,1.1473880597014925,double,True,siNT-01,siNT,0.0,AI
189,14.3,14.690000000000001,0.7521103896103896,double,True,siNT-01,siNT,0.0,AI
190,10.01,13.26,0.969851576994434,double,True,siNT-01,siNT,0.0,AI
191,5.59,6.37,0.8343023255813953,double,True,siNT-01,siNT,0.0,AI
192,8.97,10.92,0.8913043478260869,double,True,siNT-01,siNT,0.0,AI
195,8.450000000000001,13.13,1.1376373626373626,double,True,siNT-01,siNT,0.0,AI
198,13.0,16.900000000000002,0.9517857142857142,double,True,siNT-01,siNT,0.0,AI
200,6.11,16.51,1.9783434650455924,double,True,siNT-01,siNT,0.0,AI
202,7.930000000000001,8.84,0.81615925058548,double,True,siNT-01,siNT,0.0,AI
203,7.54,12.35,1.1991995073891626,double,True,siNT-01,siNT,0.0,AI
204,21.45,16.12,0.5502164502164502,one-two-one,True,siNT-01,siNT,0.0,AI
