Fiber ID,First analog (µm),Second analog (µm),Ratio,Fiber type,Valid,Image Name,Type,sigma,Grader
0,4.29,19.5,4.545454545454546,double,True,siNT-01,siNT,0.0,AI
1,12.870000000000001,16.77,1.303030303030303,double,True,siNT-01,siNT,0.0,AI
3,1.9500000000000002,15.860000000000001,8.133333333333333,double,True,siNT-01,siNT,0.0,AI
11,10.92,5.2,0.47619047619047616,double,True,siNT-01,siNT,0.0,AI
15,11.57,19.37,1.6741573033707866,two-one-two,True,siNT-01,siNT,0.0,AI
22,0.91,0.13,0.14285714285714285,double,True,siNT-01,siNT,0.0,AI
24,13.780000000000001,21.970000000000002,1.5943396226415094,double,True,siNT-01,siNT,0.0,AI
27,9.1,16.77,1.8428571428571427,double,True,siNT-01,siNT,0.0,AI
35,0.91,16.900000000000002,18.571428571428573,double,True,siNT-01,siNT,0.0,AI
63,12.09,1.3,0.10752688172043011,double,True,siNT-01,siNT,0.0,AI
72,8.06,18.46,2.2903225806451615,double,True,siNT-01,siNT,0.0,AI
79,1.17,0.52,0.4444444444444444,double,True,siNT-01,siNT,0.0,AI
83,10.4,21.970000000000002,2.1125,double,True,siNT-01,siNT,0.0,AI
88,11.18,15.34,1.372093023255814,double,True,siNT-01,siNT,0.0,AI
106,3.38,0.78,0.23076923076923078,double,True,siNT-01,siNT,0.0,AI
114,10.14,4.29,0.4230769230769231,double,True,siNT-01,siNT,0.0,AI
118,1.9500000000000002,12.09,6.2,double,True,siNT-01,siNT,0.0,AI
119,9.620000000000001,14.82,1.5405405405405406,double,True,siNT-01,siNT,0.0,AI
123,1.4300000000000002,12.610000000000001,8.818181818181818,double,True,siNT-01,siNT,0.0,AI
142,0.78,0.39,0.5,double,True,siNT-01,siNT,0.0,AI
149,11.05,23.66,2.1411764705882352,double,True,siNT-01,siNT,0.0,AI
154,9.1,3.38,0.37142857142857144,double,True,siNT-01,siNT,0.0,AI
158,1.3,11.96,9.2,double,True,siNT-01,siNT,0.0,AI
159,7.930000000000001,15.47,1.9508196721311475,double,True,siNT-01,siNT,0.0,AI
164,5.59,5.720000000000001,1.0232558139534884,double,True,siNT-01,siNT,0.0,AI
167,12.870000000000001,0.52,0.04040404040404041,double,True,siNT-01,siNT,0.0,AI
168,5.46,8.450000000000001,1.5476190476190477,double,True,siNT-01,siNT,0.0,AI
169,15.21,20.150000000000002,1.3247863247863247,double,True,siNT-01,siNT,0.0,AI
173,5.46,7.67,1.4047619047619047,double,True,siNT-01,siNT,0.0,AI
174,3.9000000000000004,9.620000000000001,2.466666666666667,double,True,siNT-01,siNT,0.0,AI
178,2.99,11.05,3.6956521739130435,double,True,siNT-01,siNT,0.0,AI
182,5.59,12.35,2.2093023255813953,double,True,siNT-01,siNT,0.0,AI
183,13.780000000000001,13.0,0.9433962264150944,double,True,siNT-01,siNT,0.0,AI
188,10.530000000000001,4.16,0.3950617283950617,double,True,siNT-01,siNT,0.0,AI
189,13.91,14.040000000000001,1.0093457943925233,double,True,siNT-01,siNT,0.0,AI
191,5.8500000000000005,7.930000000000001,1.3555555555555556,double,True,siNT-01,siNT,0.0,AI
206,9.36,4.29,0.4583333333333333,double,True,siNT-01,siNT,0.0,AI
209,11.96,0.91,0.07608695652173914,double,True,siNT-01,siNT,0.0,AI
217,8.19,4.68,0.5714285714285714,double,True,siNT-01,siNT,0.0,AI
225,3.5100000000000002,20.54,5.851851851851852,double,True,siNT-01,siNT,0.0,AI
230,10.530000000000001,3.77,0.35802469135802467,double,True,siNT-01,siNT,0.0,AI
231,12.22,11.440000000000001,0.9361702127659575,double,True,siNT-01,siNT,0.0,AI
232,8.58,22.62,2.6363636363636362,double,True,siNT-01,siNT,0.0,AI
248,2.08,11.57,5.5625,double,True,siNT-01,siNT,0.0,AI
261,0.91,0.13,0.14285714285714285,double,True,siNT-01,siNT,0.0,AI
270,7.28,5.98,0.8214285714285714,double,True,siNT-01,siNT,0.0,AI
276,10.92,3.9000000000000004,0.35714285714285715,double,True,siNT-01,siNT,0.0,AI
278,10.14,18.85,1.858974358974359,double,True,siNT-01,siNT,0.0,AI
295,8.06,5.98,0.7419354838709677,double,True,siNT-01,siNT,0.0,AI
306,9.620000000000001,3.77,0.3918918918918919,double,True,siNT-01,siNT,0.0,AI
313,11.96,4.42,0.3695652173913043,double,True,siNT-01,siNT,0.0,AI
315,5.8500000000000005,7.41,1.2666666666666666,double,True,siNT-01,siNT,0.0,AI
316,11.57,15.21,1.3146067415730338,double,True,siNT-01,siNT,0.0,AI
317,7.0200000000000005,5.8500000000000005,0.8333333333333334,double,True,siNT-01,siNT,0.0,AI
322,6.63,6.11,0.9215686274509803,double,True,siNT-01,siNT,0.0,AI
332,2.6,0.26,0.1,double,True,siNT-01,siNT,0.0,AI
340,0.13,0.52,4.0,double,True,siNT-01,siNT,0.0,AI
354,3.9000000000000004,23.27,5.966666666666667,double,True,siNT-01,siNT,0.0,AI
383,10.01,4.42,0.44155844155844154,double,True,siNT-01,siNT,0.0,AI
390,6.5,7.15,1.1,double,True,siNT-01,siNT,0.0,AI
391,11.05,6.76,0.611764705882353,double,True,siNT-01,siNT,0.0,AI
395,10.790000000000001,2.99,0.27710843373493976,double,True,siNT-01,siNT,0.0,AI
396,9.1,4.68,0.5142857142857142,double,True,siNT-01,siNT,0.0,AI
399,6.24,10.4,1.6666666666666667,double,True,siNT-01,siNT,0.0,AI
407,10.4,2.99,0.2875,double,True,siNT-01,siNT,0.0,AI
414,8.32,7.15,0.859375,double,True,siNT-01,siNT,0.0,AI
425,0.39,0.65,1.6666666666666667,double,True,siNT-01,siNT,0.0,AI
428,6.24,6.5,1.0416666666666667,double,True,siNT-01,siNT,0.0,AI
433,6.5,7.54,1.16,double,True,siNT-01,siNT,0.0,AI
435,1.9500000000000002,15.47,7.933333333333334,double,True,siNT-01,siNT,0.0,AI
441,8.84,12.35,1.3970588235294117,double,True,siNT-01,siNT,0.0,AI
