Fiber ID,First analog (µm),Second analog (µm),Ratio,Fiber type,Valid,Image Name,Type,sigma,Grader
0,5.46,17.94,3.2857142857142856,double,True,siNT-01,siNT,0.0,AI
6,12.870000000000001,1.04,0.08080808080808081,double,True,siNT-01,siNT,0.0,AI
8,3.77,10.14,2.689655172413793,double,True,siNT-01,siNT,0.0,AI
10,10.66,3.25,0.3048780487804878,double,True,siNT-01,siNT,0.0,AI
19,0.78,1.3,1.6666666666666667,double,True,siNT-01,siNT,0.0,AI
27,8.71,5.46,0.6268656716417911,double,True,siNT-01,siNT,0.0,AI
39,0.52,1.17,2.25,double,True,siNT-01,siNT,0.0,AI
62,12.22,1.3,0.10638297872340426,double,True,siNT-01,siNT,0.0,AI
71,2.47,17.94,7.2631578947368425,double,True,siNT-01,siNT,0.0,AI
74,10.27,7.41,0.7215189873417721,double,True,siNT-01,siNT,0.0,AI
96,2.99,11.440000000000001,3.8260869565217392,double,True,siNT-01,siNT,0.0,AI
106,0.65,13.0,20.0,double,True,siNT-01,siNT,0.0,AI
136,0.52,0.13,0.25,double,True,siNT-01,siNT,0.0,AI
137,12.74,1.56,0.12244897959183673,double,True,siNT-01,siNT,0.0,AI
150,7.54,13.91,1.8448275862068966,double,True,siNT-01,siNT,0.0,AI
151,5.720000000000001,5.98,1.0454545454545454,double,True,siNT-01,siNT,0.0,AI
154,13.39,0.78,0.05825242718446602,double,True,siNT-01,siNT,0.0,AI
160,15.08,1.3,0.08620689655172414,double,True,siNT-01,siNT,0.0,AI
172,2.34,11.18,4.777777777777778,double,True,siNT-01,siNT,0.0,AI
173,1.04,13.13,12.625,double,True,siNT-01,siNT,0.0,AI
176,3.5100000000000002,12.48,3.5555555555555554,double,True,siNT-01,siNT,0.0,AI
179,9.75,4.29,0.44,double,True,siNT-01,siNT,0.0,AI
182,3.9000000000000004,14.17,3.6333333333333333,double,True,siNT-01,siNT,0.0,AI
184,1.69,11.83,7.0,double,True,siNT-01,siNT,0.0,AI
